"Date","All","Women","Men","Black","Hispanic","White","Black Women","Black Men","Hispanic Women","Hispanic Men","White Women","White Men","Black 16-24","Black 25-54","Black 55-64","Black 65+","Hispanic 16-24","Hispanic 25-54","Hispanic 55-64","Hispanic 65+","White 16-24","White 25-54","White 55-64","White 65+","Women 16-24","Women 25-54","Women 55-64","Women 65+","Men 16-24","Men 25-54","Men 55-64","Men 65+","Black Women 16-24","Black Women 25-54","Black Women 55-64","Black Women 65+","Black Men 16-24","Black Men 25-54","Black Men 55-64","Black Men 65+","Hispanic Women 16-24","Hispanic Women 25-54","Hispanic Women 55-64","Hispanic Women 65+","Hispanic Men 16-24","Hispanic Men 25-54","Hispanic Men 55-64","Hispanic Men 65+","White Women 16-24","White Women 25-54","White Women 55-64","White Women 65+","White Men 16-24","White Men 25-54","White Men 55-64","White Men 65+","Women Advanced degree","Women Bachelor's degree","Women High school","Women Less than HS","Women Some college","Men Advanced degree","Men Bachelor's degree","Men High school","Men Less than HS","Men Some college","Black Advanced degree","Black Bachelor's degree","Black High school","Black Less than HS","Black Some college","Hispanic Advanced degree","Hispanic Bachelor's degree","Hispanic High school","Hispanic Less than HS","Hispanic Some college","White Advanced degree","White Bachelor's degree","White High school","White Less than HS","White Some college","Black Women Advanced degree","Black Women Bachelor's degree","Black Women High school","Black Women Less than HS","Black Women Some college","Black Men Advanced degree","Black Men Bachelor's degree","Black Men High school","Black Men Less than HS","Black Men Some college","Hispanic Women Advanced degree","Hispanic Women Bachelor's degree","Hispanic Women High school","Hispanic Women Less than HS","Hispanic Women Some college","Hispanic Men Advanced degree","Hispanic Men Bachelor's degree","Hispanic Men High school","Hispanic Men Less than HS","Hispanic Men Some college","White Women Advanced degree","White Women Bachelor's degree","White Women High school","White Women Less than HS","White Women Some college","White Men Advanced degree","White Men Bachelor's degree","White Men High school","White Men Less than HS","White Men Some college","16-24","25-54","55-64","65+","Advanced degree","Bachelor's degree","High school","Less than HS","Some college"
"Mar-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%","0.0%","1.3%","1.4%","1.4%","0.0%","0.7%","0.8%","1.2%","0.0%","0.5%","0.5%","0.6%","0.0%","0.6%","0.6%","0.6%","0.0%","0.7%","0.7%","0.8%","0.0%","1.2%","1.3%","1.1%","0.0%","1.4%","1.5%","1.7%","0.0%","0.8%","0.7%","0.6%","0.0%","0.7%","0.8%","1.5%","0.0%","0.5%","0.4%","0.5%","0.0%","0.6%","0.6%","0.6%","0.4%","0.4%","0.7%","0.9%","0.5%","0.6%","0.5%","0.8%","0.8%","0.6%","0.6%","0.7%","1.5%","2.2%","1.0%","0.4%","0.6%","0.7%","0.7%","0.5%","0.4%","0.4%","0.6%","0.7%","0.5%","0.7%","0.7%","1.5%","2.1%","0.8%","0.5%","0.7%","1.5%","2.2%","1.2%","0.4%","0.5%","0.8%","0.9%","0.4%","0.4%","0.7%","0.7%","0.6%","0.5%","0.3%","0.3%","0.5%","0.4%","0.5%","0.6%","0.4%","0.6%","0.9%","0.4%","0.0%","0.7%","0.7%","0.7%","0.5%","0.4%","0.8%","0.8%","0.6%"
"Feb-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%","0.0%","1.3%","1.4%","1.3%","0.0%","0.7%","0.8%","1.1%","0.0%","0.5%","0.5%","0.6%","0.0%","0.6%","0.6%","0.6%","0.0%","0.7%","0.8%","0.8%","0.0%","1.2%","1.2%","1.0%","0.0%","1.3%","1.6%","1.7%","0.0%","0.8%","0.7%","0.6%","0.0%","0.7%","0.8%","1.5%","0.0%","0.5%","0.4%","0.5%","0.0%","0.5%","0.6%","0.6%","0.4%","0.4%","0.7%","0.8%","0.5%","0.6%","0.5%","0.8%","0.9%","0.6%","0.6%","0.6%","1.5%","2.3%","1.0%","0.5%","0.6%","0.7%","0.7%","0.5%","0.4%","0.4%","0.5%","0.7%","0.4%","0.7%","0.7%","1.4%","2.1%","0.8%","0.6%","0.6%","1.5%","2.4%","1.2%","0.5%","0.5%","0.7%","0.8%","0.4%","0.4%","0.7%","0.7%","0.5%","0.5%","0.3%","0.4%","0.5%","0.4%","0.5%","0.6%","0.4%","0.6%","0.9%","0.4%","0.0%","0.7%","0.7%","0.7%","0.5%","0.4%","0.8%","0.9%","0.5%"
"Jan-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%","0.0%","1.2%","1.3%","1.3%","0.0%","0.7%","0.8%","1.0%","0.0%","0.5%","0.5%","0.5%","0.0%","0.6%","0.6%","0.6%","0.0%","0.7%","0.8%","0.7%","0.0%","1.2%","1.2%","1.0%","0.0%","1.3%","1.5%","1.7%","0.0%","0.7%","0.7%","0.6%","0.0%","0.7%","0.8%","1.4%","0.0%","0.5%","0.4%","0.5%","0.0%","0.5%","0.6%","0.5%","0.4%","0.4%","0.7%","0.9%","0.5%","0.5%","0.4%","0.7%","0.9%","0.6%","0.7%","0.6%","1.4%","2.3%","1.0%","0.5%","0.6%","0.7%","0.7%","0.5%","0.4%","0.3%","0.5%","0.8%","0.4%","0.7%","0.7%","1.3%","2.0%","0.8%","0.6%","0.5%","1.5%","2.6%","1.2%","0.5%","0.5%","0.7%","0.9%","0.4%","0.5%","0.7%","0.7%","0.6%","0.5%","0.3%","0.4%","0.5%","0.5%","0.5%","0.5%","0.3%","0.6%","1.0%","0.4%","0.0%","0.7%","0.7%","0.6%","0.5%","0.4%","0.7%","0.9%","0.5%"
"Dec-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%","0.0%","1.2%","1.2%","1.2%","0.0%","0.7%","0.8%","0.9%","0.0%","0.5%","0.5%","0.5%","0.0%","0.6%","0.6%","0.5%","0.0%","0.7%","0.7%","0.7%","0.0%","1.1%","1.2%","1.0%","0.0%","1.3%","1.3%","1.4%","0.0%","0.7%","0.8%","0.3%","0.0%","0.6%","0.7%","1.4%","0.0%","0.5%","0.4%","0.5%","0.0%","0.5%","0.6%","0.5%","0.3%","0.4%","0.7%","0.8%","0.5%","0.5%","0.4%","0.7%","0.9%","0.6%","0.6%","0.6%","1.4%","2.1%","1.0%","0.4%","0.5%","0.7%","0.6%","0.5%","0.4%","0.4%","0.5%","0.8%","0.5%","0.7%","0.7%","1.3%","1.7%","0.8%","0.6%","0.5%","1.4%","2.6%","1.1%","0.4%","0.4%","0.7%","0.8%","0.5%","0.4%","0.7%","0.7%","0.5%","0.5%","0.3%","0.3%","0.5%","0.4%","0.5%","0.5%","0.4%","0.5%","1.0%","0.4%","0.0%","0.6%","0.7%","0.6%","0.4%","0.4%","0.7%","0.8%","0.6%"
"Nov-2023","0.6%","0.5%","0.6%","1.0%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%","0.0%","1.2%","1.2%","1.1%","0.0%","0.7%","0.8%","0.8%","0.0%","0.5%","0.5%","0.5%","0.0%","0.6%","0.6%","0.6%","0.0%","0.7%","0.7%","0.7%","0.0%","1.2%","1.1%","0.9%","0.0%","1.3%","1.4%","1.3%","0.0%","0.7%","0.7%","0.3%","0.0%","0.7%","0.8%","1.2%","0.0%","0.5%","0.4%","0.5%","0.0%","0.5%","0.6%","0.5%","0.3%","0.4%","0.7%","0.8%","0.5%","0.5%","0.4%","0.7%","0.9%","0.6%","0.7%","0.7%","1.3%","2.1%","0.9%","0.4%","0.5%","0.7%","0.6%","0.5%","0.3%","0.3%","0.5%","0.8%","0.5%","0.7%","0.8%","1.3%","1.8%","0.8%","0.7%","0.5%","1.3%","2.4%","1.0%","0.4%","0.4%","0.7%","0.8%","0.5%","0.5%","0.7%","0.7%","0.6%","0.5%","0.2%","0.3%","0.5%","0.5%","0.5%","0.4%","0.4%","0.5%","1.0%","0.4%","0.0%","0.6%","0.7%","0.6%","0.4%","0.4%","0.7%","0.9%","0.5%"
"Oct-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%","0.0%","1.3%","1.2%","1.1%","0.0%","0.7%","0.7%","0.8%","0.0%","0.5%","0.5%","0.6%","0.0%","0.6%","0.6%","0.6%","0.0%","0.7%","0.7%","0.7%","0.0%","1.2%","1.0%","1.0%","0.0%","1.3%","1.3%","1.3%","0.0%","0.7%","0.7%","0.4%","0.0%","0.7%","0.7%","1.1%","0.0%","0.5%","0.4%","0.6%","0.0%","0.5%","0.6%","0.5%","0.3%","0.4%","0.7%","0.8%","0.6%","0.5%","0.4%","0.7%","0.8%","0.6%","0.7%","0.7%","1.3%","2.1%","0.9%","0.4%","0.5%","0.7%","0.6%","0.5%","0.3%","0.3%","0.5%","0.7%","0.5%","0.7%","0.8%","1.3%","1.9%","0.8%","0.8%","0.5%","1.4%","2.3%","1.0%","0.4%","0.4%","0.6%","0.8%","0.5%","0.5%","0.7%","0.7%","0.5%","0.5%","0.2%","0.3%","0.5%","0.5%","0.5%","0.4%","0.4%","0.5%","0.9%","0.4%","0.0%","0.7%","0.7%","0.6%","0.4%","0.4%","0.7%","0.8%","0.6%"
"Sep-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%","0.0%","1.3%","1.2%","1.2%","0.0%","0.7%","0.7%","0.8%","0.0%","0.5%","0.5%","0.5%","0.0%","0.6%","0.6%","0.6%","0.0%","0.7%","0.7%","0.6%","0.0%","1.2%","1.0%","1.1%","0.0%","1.3%","1.3%","1.3%","0.0%","0.7%","0.7%","0.5%","0.0%","0.7%","0.7%","1.0%","0.0%","0.5%","0.4%","0.6%","0.0%","0.5%","0.6%","0.5%","0.3%","0.4%","0.7%","0.9%","0.6%","0.5%","0.4%","0.7%","0.9%","0.6%","0.8%","0.7%","1.4%","2.2%","0.9%","0.4%","0.5%","0.7%","0.6%","0.5%","0.3%","0.3%","0.5%","0.7%","0.5%","0.7%","0.9%","1.3%","2.0%","0.8%","0.8%","0.5%","1.4%","2.4%","1.0%","0.4%","0.4%","0.6%","0.8%","0.6%","0.5%","0.6%","0.7%","0.6%","0.5%","0.2%","0.3%","0.5%","0.5%","0.5%","0.4%","0.3%","0.5%","0.9%","0.4%","0.0%","0.7%","0.7%","0.6%","0.4%","0.4%","0.7%","0.9%","0.6%"
"Aug-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%","0.0%","1.3%","1.1%","1.2%","0.0%","0.7%","0.7%","0.9%","0.0%","0.5%","0.5%","0.5%","0.0%","0.6%","0.6%","0.6%","0.0%","0.7%","0.7%","0.6%","0.0%","1.3%","1.0%","1.1%","0.0%","1.3%","1.3%","1.2%","0.0%","0.7%","0.7%","0.6%","0.0%","0.7%","0.6%","1.1%","0.0%","0.5%","0.5%","0.5%","0.0%","0.5%","0.6%","0.5%","0.4%","0.4%","0.7%","0.9%","0.6%","0.4%","0.4%","0.7%","0.9%","0.5%","0.8%","0.7%","1.3%","2.1%","0.9%","0.4%","0.5%","0.7%","0.7%","0.5%","0.3%","0.3%","0.5%","0.7%","0.5%","0.7%","0.9%","1.3%","2.0%","0.8%","0.8%","0.5%","1.3%","2.3%","0.9%","0.4%","0.3%","0.7%","0.9%","0.6%","0.5%","0.6%","0.7%","0.6%","0.5%","0.2%","0.3%","0.5%","0.5%","0.5%","0.4%","0.3%","0.5%","0.9%","0.4%","0.0%","0.6%","0.7%","0.6%","0.4%","0.4%","0.7%","0.9%","0.6%"
"Jul-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.4%","0.0%","1.3%","1.1%","1.2%","0.0%","0.7%","0.6%","1.0%","0.0%","0.5%","0.5%","0.5%","0.0%","0.6%","0.6%","0.6%","0.0%","0.6%","0.7%","0.6%","0.0%","1.4%","1.0%","1.2%","0.0%","1.3%","1.1%","1.3%","0.0%","0.7%","0.6%","0.8%","0.0%","0.7%","0.6%","1.1%","0.0%","0.4%","0.5%","0.5%","0.0%","0.5%","0.6%","0.5%","0.3%","0.4%","0.7%","0.9%","0.6%","0.4%","0.4%","0.7%","0.9%","0.5%","0.7%","0.7%","1.4%","2.2%","0.9%","0.4%","0.5%","0.6%","0.7%","0.5%","0.3%","0.3%","0.5%","0.7%","0.5%","0.7%","0.9%","1.4%","2.0%","1.0%","0.8%","0.5%","1.4%","2.4%","0.9%","0.4%","0.3%","0.7%","0.9%","0.5%","0.4%","0.6%","0.6%","0.6%","0.5%","0.2%","0.3%","0.5%","0.5%","0.5%","0.4%","0.3%","0.5%","0.8%","0.4%","0.0%","0.6%","0.6%","0.6%","0.4%","0.4%","0.7%","0.9%","0.6%"
"Jun-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.5%","0.0%","1.3%","1.0%","1.2%","0.0%","0.7%","0.6%","1.0%","0.0%","0.5%","0.5%","0.5%","0.0%","0.6%","0.6%","0.7%","0.0%","0.6%","0.7%","0.6%","0.0%","1.3%","0.9%","1.3%","0.0%","1.3%","1.1%","1.2%","0.0%","0.7%","0.6%","0.8%","0.0%","0.7%","0.6%","1.2%","0.0%","0.4%","0.5%","0.5%","0.0%","0.5%","0.6%","0.5%","0.3%","0.4%","0.7%","1.0%","0.6%","0.4%","0.4%","0.7%","0.9%","0.5%","0.7%","0.7%","1.3%","2.4%","0.9%","0.4%","0.4%","0.6%","0.7%","0.5%","0.3%","0.3%","0.5%","0.7%","0.5%","0.7%","0.9%","1.3%","2.3%","1.0%","0.7%","0.5%","1.3%","2.5%","0.9%","0.4%","0.4%","0.7%","0.9%","0.5%","0.3%","0.5%","0.6%","0.6%","0.6%","0.2%","0.3%","0.5%","0.5%","0.5%","0.4%","0.4%","0.5%","0.8%","0.4%","0.0%","0.6%","0.6%","0.6%","0.4%","0.4%","0.7%","0.9%","0.6%"
